edad,ingresos_anuales,créditos,categoría
38,174765,39716,crédito
49,101051,49589,crédito
24,60272,56413,crédito
50,149710,40738,crédito
25,66726,24994,crédito
31,108173,30939,crédito
42,51960,31625,crédito
49,66844,45101,crédito
45,176171,53365,crédito
19,112226,55004,crédito
34,142841,31670,inv_riesgo
44,90976,24819,crédito
19,198187,42990,crédito
25,96787,61594,crédito
55,171605,60218,crédito
37,108130,39123,crédito
54,175625,26092,inv_riesgo
38,199031,23713,inv_riesgo
43,114891,42898,crédito
48,55271,48227,crédito
37,89573,15868,inv_conservadora
23,184868,61219,crédito
32,136349,50670,crédito
18,178151,26861,inv_riesgo
43,188136,34926,inv_riesgo
46,74720,60654,crédito
19,62286,33318,crédito
39,140989,20109,inv_riesgo
46,83698,44083,crédito
26,88096,33828,crédito
38,105863,17146,inv_conservadora
49,120939,61564,crédito
49,95601,27843,crédito
43,151440,15037,crédito
30,110014,50587,crédito
20,154066,35782,crédito
49,124170,17020,inv_conservadora
50,118629,56479,crédito
50,79097,47353,crédito
30,99251,35417,crédito
23,139830,57503,crédito
21,115141,50832,crédito
55,159860,16752,crédito
23,68494,45717,crédito
20,108694,22994,crédito
44,112942,38056,crédito
37,95956,60433,crédito
35,145576,26832,inv_riesgo
37,151904,47759,crédito
47,72427,30735,crédito
27,92870,49953,crédito
40,109290,55737,crédito
20,81156,55182,crédito
26,196201,18925,crédito
36,189952,41111,crédito
53,94347,15408,inv_conservadora
44,92522,55600,crédito
45,116895,29188,crédito
25,166616,28584,inv_riesgo
25,82543,16345,inv_conservadora
35,143952,34540,inv_riesgo
38,86360,18375,inv_conservadora
30,166017,53785,crédito
44,188987,35604,crédito
33,59124,30667,crédito
26,124482,52727,crédito
44,130748,38623,crédito
34,195918,49228,crédito
20,168917,42098,crédito
21,117748,38547,crédito
18,108493,15282,inv_conservadora
31,102006,30416,crédito
25,82688,34350,crédito
24,131008,42915,crédito
47,58034,38877,crédito
42,180160,27439,inv_riesgo
33,117398,57084,crédito
28,108558,46288,crédito
42,68725,32432,crédito
50,194019,47531,crédito
38,199406,57158,crédito
27,89087,35140,crédito
26,121760,32124,crédito
18,111320,40733,crédito
51,161417,54798,crédito
48,51951,22892,crédito
38,182183,61494,crédito
41,167135,53496,crédito
36,181181,20328,inv_riesgo
38,98395,32529,crédito
